,acc,sensitivity,ppv,mmr,precision_recall_product,clique_precision_mean,clique_recall_mean,clique_precision_mean_normalize,clique_recall_mean_normalize,clique_precision_mean_normalize_weighted,clique_recall_mean_normalize_weighted
2500,,,,,,,,,,,
0 Ps_gold_complexes_cluster,0.309462133071,0.205769230769,0.465408805031,0.0277250964448,0.0146674220058,0.12966753881,0.0035175933565,0.0284582863095,0.00217258349283,0.0606894478808,0.00491225087546
0 best_cluster_0,0.187993626736,0.158456486043,0.223036649215,0.0293105976675,0.0266749399911,0.0198691678638,0.000180406349978,0.0019548626346,0.28129471947,0.0114148563869,0.0288319467879
