,acc,sensitivity,ppv,mmr,precision_recall_product,clique_precision_mean,clique_recall_mean,clique_precision_mean_normalize,clique_recall_mean_normalize
2500,,,,,,,,,
0 Ps_gold_complexes_cluster,0.418330013267,0.323076923077,0.541666666667,0.317625578464,0.0337260146655,0.134206349206,0.00280527906592,0.0246305147952,0.00124637509591
0 best_cluster_0,0.335114412832,0.216201423098,0.51943076081,0.268315167157,0.128220114881,0.0256037788075,0.000226136536639,0.00251484773256,0.13993049151
