,acc,sensitivity,ppv,mmr,precision_recall_product,clique_precision_mean,clique_recall_mean,clique_precision_mean_normalize,clique_recall_mean_normalize,clique_precision_mean_normalize_weighted,clique_recall_mean_normalize_weighted
gmm_bayes Ps_gold_complexes_cluster,0.297633344806,0.196153846154,0.451612903226,0.021773215166,0.0131021855743,0.134206349206,0.00280524350922,0.0246305147952,0.00121481546904,0.0594279458624,0.00378637430773
gmm_bayes best_cluster_0,0.184970098324,0.159277504105,0.214807090719,0.0258604214658,0.0251239199094,0.0256028567662,0.000239304686571,0.00250725071393,0.143594874414,0.00903771189999,0.0141055598157
