PA14_50480	PA14_50470	PA14_50450	PA14_50440	PA14_50430	PA14_50420	PA14_50410	PA14_50360	PA14_50340	PA14_45680	PA14_45720	PA14_65450	PA14_65430
PA14_50480	PA14_50470	PA14_50440	PA14_50430	PA14_50420	PA14_50410	PA14_65450	PA14_65430					
PA14_30020	PA14_30010	PA14_29990	PA14_29980	PA14_29970	PA14_29940	PA14_29930	PA14_29920	PA14_29900	PA14_29890	PA14_29880	PA14_29860	PA14_29850
PA14_23970	PA14_23990	PA14_24020	PA14_24070									
PA14_17260	PA14_00020	PA14_41050	PA14_44630	PA14_12200	PA14_25760	PA14_14460						
PA14_45680	PA14_45720											
PA14_57220	PA14_67720	PA14_14630	PA14_08695	PA14_14650	PA14_62810	PA14_09050	PA14_14610	PA14_73410				
PA14_73260	PA14_73310	PA14_73230	PA14_73240	PA14_73300	PA14_73290	PA14_73250	PA14_73280					
PA14_51740	PA14_29350	PA14_10170	PA14_10180	PA14_10160	PA14_10140	PA14_72970						
PA14_51740	PA14_13430	PA14_26360	PA14_55020	PA14_72970								
PA14_51710	PA14_47800	PA14_51720	PA14_51750	PA14_51690								
PA14_47800	PA14_62290	PA14_51740	PA14_72970									
PA14_51740	PA14_06160	PA14_72970										
PA14_51710	PA14_51720	PA14_51750	PA14_51690									
PA14_51740	PA14_09970	PA14_72970										
PA14_51710	PA14_51720	PA14_51750	PA14_51690									
PA14_65130	PA14_07530	PA14_66720										
PA14_50560	PA14_50550	PA14_50530	PA14_50520	PA14_50540								
PA14_50560	PA14_50550	PA14_50530	PA14_50520	PA14_50540								
PA14_45380	PA14_45370	PA14_45350	PA14_45330									
PA14_68070	PA14_68080											
PA14_58350	PA14_58440	PA14_58450	PA14_58470	PA14_58490								
PA14_17320	PA14_62710	PA14_69230	PA14_25560	PA14_14040								
PA14_20360	PA14_20370	PA14_20380	PA14_20390	PA14_20400								
PA14_73260	PA14_73230	PA14_73240	PA14_73250	PA14_73280								
PA14_49260	PA14_49270											
PA14_10170	PA14_10180	PA14_10160	PA14_10140									
PA14_46910	PA14_46920	PA14_46930										
PA14_26240	PA14_26220	PA14_52750	PA14_26230									
PA14_34410	PA14_34390	PA14_34370										
PA14_17630	PA14_17620											
PA14_46220	PA14_03940	PA14_03950	PA14_03960									
PA14_70830	PA14_70810	PA14_70850										
PA14_22990	PA14_34420	PA14_23010										
PA14_26240	PA14_26220	PA14_52750	PA14_26230									
PA14_13590	PA14_13580											
PA14_37880	PA14_37870	PA14_37850	PA14_41160									
PA14_03700	PA14_03650	PA14_03680	PA14_03670									
PA14_03650	PA14_58560	PA14_03680	PA14_03670									
PA14_26360	PA14_55020											
PA14_17270	PA14_64100	PA14_64110	PA14_23860									
PA14_43400	PA14_43380	PA14_43370										
PA14_31010	PA14_05550											
PA14_47800	PA14_51740	PA14_72970										
PA14_51740	PA14_29350	PA14_72970										
PA14_51740	PA14_06160	PA14_72970										
PA14_51740	PA14_13430	PA14_72970										
PA14_13460	PA14_09115	PA14_08760	PA14_08780									
PA14_09115	PA14_08760	PA14_08780										
PA14_45330	PA14_45310	PA14_45290										
PA14_51740	PA14_09970	PA14_72970										
PA14_20360	PA14_20370	PA14_20380	PA14_20420									
PA14_47210	PA14_47190	PA14_47180	PA14_47160									
PA14_09450	PA14_49340	PA14_09240	PA14_21020									
PA14_68860	PA14_68850	PA14_68870										
PA14_32080	PA14_37550											
PA14_09115	PA14_08760	PA14_08780	PA14_04930									
PA14_09115	PA14_08760	PA14_08780	PA14_57940									
PA14_09115	PA14_08760	PA14_08780	PA14_07520									
PA14_09115	PA14_08760	PA14_08780	PA14_54430									
PA14_09115	PA14_08760	PA14_08780	PA14_17480									
PA14_14630	PA14_14650	PA14_14610	PA14_73410									
PA14_44030	PA14_44020	PA14_44060	PA14_44050									
PA14_09180	PA14_23510	PA14_30660	PA14_71870									
PA14_44010	PA14_44000											
PA14_40390	PA14_40420											
PA14_20300	PA14_20320											
PA14_67270	PA14_67280	PA14_67300										
PA14_39330	PA14_39350	PA14_39320										
PA14_39330	PA14_39320											
PA14_34420	PA14_34390											
PA14_19540	PA14_19580	PA14_19570										
PA14_72550	PA14_72590	PA14_72580										
PA14_12920	PA14_12940	PA14_12960										
PA14_63605	PA14_63580	PA14_63570										
PA14_09115	PA14_08760	PA14_08780										
PA14_51740	PA14_72970											
PA14_68130	PA14_68140	PA14_65750										
PA14_05530	PA14_05540	PA14_65750										
PA14_68130	PA14_68140	PA14_65750										
PA14_17260	PA14_41050											
PA14_30230	PA14_41240	PA14_41230										
PA14_29980	PA14_29970	PA14_29940										
PA14_30010	PA14_29990	PA14_29920										
PA14_44630	PA14_12200	PA14_25760										
PA14_05530	PA14_65750											
PA14_70690	PA14_70680	PA14_70670										
PA14_45350	PA14_45330											
PA14_17330	PA14_57440	PA14_57300										
PA14_58150	PA14_58130	PA14_58120										
PA14_73310	PA14_73300	PA14_73290										
PA14_63605	PA14_63580	PA14_63570										
PA14_63605	PA14_63580	PA14_63570										
PA14_62960	PA14_62970	PA14_62990										
PA14_34260	PA14_72620	PA14_13010										
PA14_65350	PA14_17500											
PA14_13780	PA14_13800	PA14_13830										
PA14_13830	PA14_13800	PA14_13780										
PA14_39690	PA14_28910											
PA14_08340	PA14_41820	PA14_25710										
PA14_66290	PA14_66310											
PA14_55670	PA14_55690	PA14_55660										
PA14_00030	PA14_54300	PA14_44610										
PA14_51790	PA14_51780	PA14_51800										
PA14_08695	PA14_62810	PA14_09050										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_33770	PA14_33760	PA14_65750										
PA14_05530	PA14_05540	PA14_65750										
PA14_52810	PA14_15200											
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_02220	PA14_02250	PA14_02230										
PA14_23750	PA14_23760											
PA14_27770	PA14_27780											
PA14_04910	PA14_04920											
PA14_27150	PA14_27140											
PA14_38640	PA14_38660											
PA14_62150	PA14_62160											
PA14_17270	PA14_23860											
PA14_51350	PA14_51360											
PA14_62930	PA14_62910											
PA14_66790	PA14_66770											
PA14_65605	PA14_65660											
PA14_23260	PA14_00050											
PA14_01710	PA14_01720											
PA14_13240	PA14_13250											
PA14_30230	PA14_41240											
PA14_41240	PA14_41230											
PA14_08740	PA14_08750											
PA14_55650	PA14_55640											
PA14_69710	PA14_16040											
PA14_57720	PA14_57710											
PA14_11450	PA14_08840											
PA14_13430	PA14_28980											
PA14_15230	PA14_11570											
PA14_54880	PA14_29110											
PA14_13030	PA14_13040											
PA14_11770	PA14_11760											
PA14_25090	PA14_25080											
PA14_66570	PA14_66560											
PA14_66570	PA14_66560											
PA14_67880	PA14_67920											
PA14_34370	PA14_13150											
PA14_41530	PA14_41540											
PA14_08340	PA14_41820											
PA14_28720	PA14_23340											
PA14_28690	PA14_28710											
PA14_12010	PA14_60420											
PA14_02450	PA14_02470											
PA14_49460	PA14_49470											
PA14_43950	PA14_43940											
PA14_57720	PA14_57710											
PA14_40770	PA14_58560											
PA14_00440	PA14_00450											
