,bic,aic test_clusters,acc,sensitivity,ppv,mmr,precision_recall_product,clique_precision_mean,clique_recall_mean,clique_precision_mean_normalize,clique_recall_mean_normalize
5,,,,,,,,,,,
5 test_clusters,50905.0896884,36355.3839363,1.0,1.0,1.0,1.0,1.0,0.849206349206,0.849206349206,0.999998545459,0.999998545459
